0.4 -92.1791 -80.4536 20.9852 23.1211 -55.9666 -81.7679 3.88206 -8.8961 2.74239 -1.0412 4.14756 -11.8992 19.7482 21.8314 21.3233 21.32 19.3427 19.7856
0.41 -108.063 -81.9965 15.5029 17.2538 -53.8325 -93.0855 -5.77966 -18.2384 3.53279 -1.87179 11.5086 -1.91041 21.5101 23.0778 22.5576 22.7266 20.7129 21.8599
0.42 -125.897 -80.7826 10.1504 11.3328 -50.032 -104.983 -16.7039 -27.6128 4.10052 -2.6432 18.5968 9.59842 22.3168 23.4549 22.9259 23.1702 21.211 22.9871
0.43 -144.611 -76.0692 5.35436 5.89889 -44.8011 -116.669 -28.5555 -36.4013 4.41998 -3.30233 24.8947 22.1142 22.2668 23.1365 22.6051 22.8156 20.9711 23.2291
0.44 -161.188 -67.0543 1.32659 1.26919 -38.3405 -126.312 -41.1008 -44.0659 4.51304 -3.82098 30.0949 35.2045 21.5819 22.3602 21.8346 21.9138 20.2123 22.7793
0.45 -169.639 -53.2133 -1.90361 -2.45443 -30.8121 -130.653 -54.0121 -50.1329 4.42678 -4.19422 34.0742 48.4245 20.519 21.3539 20.8416 20.7158 19.1632 21.8798
0.46 -160.967 -34.7557 -4.41972 -5.31852 -22.3951 -125.108 -66.4895 -54.195 4.2132 -4.4334 36.829 61.097 19.3044 20.2959 19.8014 19.4228 18.0132 20.754
0.47 -126.138 -12.9454 -6.35505 -7.44565 -13.348 -105.024 -76.9291 -55.9654 3.91737 -4.55865 38.4179 72.1096 18.1064 19.3057 18.8305 18.174 16.896 19.5757
0.48 -63.1278 9.99216 -7.85331 -8.98066 -4.03626 -68.3688 -83.0963 -55.3628 3.57353 -4.59312 38.9305 79.9521 17.0355 18.4514 17.9977 17.0548 15.8934 18.4645
0.49 16.5547 31.4385 -9.05019 -10.0598 5.08917 -18.6845 -83.1373 -52.5672 3.20619 -4.55796 38.4785 83.1622 16.1541 17.7628 17.3357 16.1117 15.0479 17.494
0.5 91.1399 49.1608 -10.0654 -10.8006 13.5563 34.606 -76.8769 -47.9962 2.83343 -4.46741 37.1994 81.0429 15.4875 17.2424 16.8487 15.364 14.3768 16.7023
0.51 142.067 61.8837 -10.9974 -11.3052 20.9566 80.1934 -66.1031 -42.2061 2.46993 -4.32683 35.2564 74.1393 15.0338 16.8754 16.5189 14.8124 13.8828 16.1005
0.52 164.075 69.416 -11.9222 -11.667 27.0135 110.479 -53.4711 -35.7621 2.12845 -4.13433 32.8239 64.0326 14.7753 16.6343 16.3144 14.4463 13.5586 15.681
0.53 163.252 72.3957 -12.8949 -11.9713 31.6117 124.142 -41.1658 -29.1357 1.82094 -3.88307 30.0685 52.6125 14.6864 16.4821 16.1964 14.249 13.3889 15.4235
0.54 149.283 71.8784 -13.9495 -12.2932 34.7875 124.555 -30.3447 -22.66 1.55987 -3.56198 27.134 41.4008 14.7362 16.3746 16.1224 14.1997 13.3503 15.2988
0.55 130.08 68.9729 -15.0955 -12.6951 36.6935 116.653 -21.3083 -16.5376 1.35881 -3.15673 24.1334 31.2841 14.8883 16.2637 16.0479 14.2732 13.4118 15.269
